,성별,연령대,가구소득정도,사용목적1순위값,사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,휴식오락사용비율,취미사용비율,본인계발사용비율,대인관계교제사용비율,기타사용비율,관심레저활동1순위값,계절,위도,경도,또래인구수
9446,1,2,2,0,1,1,2,30.0,20.0,10.0,40.0,0.0,49,0,34.816,126.4629,239871
9447,0,4,2,7,1,0,3,20.0,20.0,10.0,10.0,40.0,28,0,37.8228,128.1555,274254
9448,1,1,2,0,1,1,1,30.0,50.0,10.0,10.0,0.0,5,0,37.5665,126.978,1419153
9449,0,2,4,7,4,3,2,10.0,10.0,50.0,30.0,0.0,31,0,35.1595,126.8526,226190
9450,1,0,0,3,6,15,15,100.0,0.0,0.0,0.0,0.0,6,0,35.1796,129.0756,376716
9451,1,0,2,6,1,2,8,40.0,20.0,20.0,20.0,0.0,0,0,37.5665,126.978,1350822
9452,0,3,0,5,4,2,5,30.0,0.0,30.0,40.0,0.0,49,0,35.8714,128.6014,418120
9453,0,4,4,0,1,2,6,20.0,60.0,0.0,20.0,0.0,30,0,37.4563,126.7052,438663
9454,0,1,1,6,9,5,10,50.0,45.0,0.0,5.0,0.0,17,0,35.8714,128.6014,278986
9455,0,1,2,8,0,2,6,10.0,20.0,50.0,20.0,0.0,29,0,35.1595,126.8526,173371
9456,1,2,3,5,1,3,8,20.0,10.0,30.0,40.0,0.0,81,0,37.5665,126.978,1406016
9457,1,0,1,1,6,7,6,30.0,70.0,0.0,0.0,0.0,73,0,36.3504,127.3845,198812
9458,1,1,2,5,8,1,2,30.0,10.0,30.0,30.0,0.0,75,0,36.4919,128.8889,258107
9459,0,1,4,0,5,3,3,40.0,10.0,30.0,20.0,0.0,69,0,37.5665,126.978,1419153
9460,1,3,3,8,0,2,2,80.0,0.0,0.0,20.0,0.0,75,0,36.3504,127.3845,241771
9461,0,3,2,5,6,2,3,50.0,30.0,0.0,0.0,20.0,5,0,35.7175,127.153,299487
9462,1,3,3,1,0,2,4,0.0,0.0,0.0,50.0,50.0,49,0,37.4138,127.5183,2318045
9463,1,2,4,0,5,3,8,60.0,0.0,10.0,30.0,0.0,12,0,35.8714,128.6014,354272
9464,0,3,4,0,5,2,2,60.0,0.0,0.0,40.0,0.0,61,0,37.4138,127.5183,2318045
9465,0,3,1,6,1,5,5,30.0,0.0,0.0,70.0,0.0,60,0,35.1796,129.0756,537918
9466,0,2,0,0,3,2,3,90.0,0.0,0.0,10.0,0.0,5,0,33.4996,126.5312,107997
9467,0,1,1,4,1,2,2,10.0,20.0,30.0,40.0,0.0,16,0,35.8714,128.6014,278986
9468,0,0,4,8,5,10,10,80.0,0.0,10.0,10.0,0.0,44,0,37.4138,127.5183,1677623
9469,0,4,4,1,9,3,5,20.0,50.0,10.0,20.0,0.0,5,0,35.1595,126.8526,184047
